extract.id,document.id,document.year
451,272,1926
452,274,1916
453,274,1916
454,275,1926
455,276,0
457,276,0
458,277,1969
460,277,1969
461,278,1964
462,280,1951
463,280,1951
464,281,1957
465,282,1985
466,282,1985
467,282,1985
468,283,1953
469,284,1995
471,284,1995
473,285,1951
474,285,1951
475,285,1951
476,285,1951
477,285,1951
478,285,1951
479,286,1950
480,286,1950
481,287,1963
482,288,1944
483,289,1943
484,290,1960
485,290,1960
486,291,1990
487,292,1961
488,292,1961
489,292,1961
490,292,1961
491,292,1961
492,294,1991
493,295,1980
494,298,1931
495,298,1931
496,299,1934
497,299,1934
498,299,1934
499,300,1990
500,300,1990
501,301,1975
502,302,1982
503,303,1963
504,304,1962
505,305,1922
506,342,1975
507,344,1956
508,346,1987
509,348,1996
510,348,1996
511,348,1996
512,348,1996
513,352,1903
514,352,1903
515,831,1940
516,24,1970
518,6,1929
519,13,1959
520,13,1959
521,13,1959
522,13,1959
523,13,1959
524,14,1989
525,15,1924
526,15,1924
527,16,1961
528,17,1958
529,18,1971
530,19,1960
531,20,1923
532,20,1923
533,20,1923
534,20,1923
535,20,1923
536,20,1923
537,21,1935
538,21,1935
539,21,1935
540,22,1941
541,23,1941
542,24,1970
543,28,1966
544,28,1966
545,30,1970
546,31,1966
547,32,1970
548,32,1970
549,32,1970
550,32,1970
551,32,1970
552,34,1958
553,35,1914
554,36,1913
555,42,1956
556,46,1934
557,56,1975
558,58,1988
559,59,1975
560,83,1905
561,83,1905
562,83,1905
563,87,1966
564,87,1966
565,89,1982
566,90,1980
567,90,1980
568,93,1965
569,92,1991
570,92,1991
571,96,1962
572,98,1985
573,13,1959
574,112,1969
575,125,1975
576,126,1934
577,126,1934
578,127,1945
579,132,1953
580,133,2003
581,139,1958
582,142,1950
583,148,1968
584,160,1819
585,161,1991
590,162,1956
591,164,1910
592,163,1950
594,174,1975
595,177,1998
596,186,1947
597,186,1947
598,186,1947
599,186,1947
600,186,1947
601,185,1957
602,185,1957
603,185,1957
604,185,1957
606,185,1957
607,183,1964
608,182,1900
609,182,1900
610,182,1900
611,182,1900
612,181,1908
613,181,1908
614,181,1908
617,188,1978
618,188,1978
619,189,1970
620,190,1940
621,192,1978
622,193,1970
623,196,1987
624,196,1987
625,199,1990
627,204,1962
630,206,1985
631,210,1989
632,214,1995
633,220,1955
634,223,1991
635,224,1914
636,271,1929
637,193,1970
638,1,1951
639,782,1976
640,782,1976
641,783,1977
642,784,1981
643,781,1967
644,785,1987
645,785,1987
646,785,1987
647,785,1987
648,229,1967
649,230,1971
650,232,1971
651,233,1942
652,235,1969
653,235,1969
654,237,1993
655,237,1993
656,237,1993
657,238,1972
658,242,1953
659,248,1979
660,250,1934
661,250,1934
662,250,1934
663,251,1980
664,251,1980
665,251,1980
666,252,1969
667,253,1930
668,253,1930
669,254,1928
670,255,1916
672,257,1967
673,259,1959
674,264,1939
675,269,1957
676,270,0
677,270,0
679,292,1961
680,293,1973
681,293,1973
682,293,1973
683,295,1980
684,296,1979
685,296,1979
686,305,1922
687,306,1972
688,306,1972
689,307,1946
690,315,1973
691,315,1973
692,316,1962
693,316,1962
694,317,1978
695,309,1988
696,310,1979
697,311,1934
698,312,1979
699,313,1981
700,318,1980
701,319,1980
702,319,1980
703,319,1980
704,319,1980
705,320,1932
706,320,1932
707,320,1932
708,320,1932
709,321,1961
710,322,1957
711,322,1957
712,323,1954
713,324,1952
714,325,1946
715,326,1994
716,326,1994
717,327,2004
718,328,1954
719,329,1993
720,330,1991
721,331,1998
722,332,1997
723,332,1997
724,332,1997
725,332,1997
726,332,1997
727,332,1997
728,332,1997
729,332,1997
730,333,1989
731,333,1989
732,333,1989
733,333,1989
734,334,1804
735,335,1840
736,335,1840
737,335,1840
738,335,1840
739,336,1840
740,336,1840
741,337,1970
742,340,1953
743,341,1992
744,343,1935
745,345,1921
746,346,1987
747,348,1996
748,355,1973
749,356,1935
750,350,1894
751,350,1894
752,351,1906
753,353,1987
754,354,1928
755,354,1928
756,358,1923
757,357,1930
758,360,2000
759,363,1969
760,364,1916
761,365,1904
762,365,1904
763,365,1904
764,366,1998
765,367,1927
766,368,1994
767,368,1994
768,369,1983
769,369,1983
770,370,1994
772,371,1967
773,372,1910
774,373,1996
775,374,1933
776,375,1985
777,376,1999
786,377,1909
787,377,1909
788,377,1909
807,377,1909
810,377,1909
811,377,1909
817,377,1909
818,377,1909
819,378,1988
820,379,1991
821,380,1898
822,380,1898
823,381,1944
824,382,1951
825,383,1998
826,383,1998
828,94,1984
830,385,1977
831,386,1974
832,387,1966
833,388,1992
834,389,1912
835,390,1983
836,391,1922
837,392,2000
838,393,1989
839,394,1992
840,396,1990
841,397,1934
842,398,1951
843,399,1958
844,399,1958
845,400,1988
846,400,1988
847,401,1933
848,403,1984
849,404,1986
850,405,1970
851,406,1981
852,407,1968
853,410,1949
854,410,1949
855,410,1949
856,410,1949
857,410,1949
858,408,1977
859,410,1949
860,411,1954
861,412,1981
862,413,1977
863,414,1975
864,415,1982
865,416,1991
866,417,1970
867,418,1975
868,418,1975
869,419,1928
870,419,1928
871,420,1910
872,420,1910
873,420,1910
874,420,1910
875,420,1910
876,421,1951
877,421,1951
878,421,1951
879,421,1951
880,421,1951
881,422,1948
882,422,1948
883,422,1948
884,422,1948
885,422,1948
886,422,1948
887,422,1948
888,422,1948
889,423,1936
891,423,1936
892,426,1991
893,427,1940
894,427,1940
895,427,1940
896,427,1940
897,427,1940
898,427,1940
899,427,1940
900,427,1940
901,427,1940
902,427,1940
903,427,1940
904,428,1952
905,428,1952
906,429,1953
907,429,1953
908,429,1953
909,429,1953
910,429,1953
911,429,1953
912,431,1905
913,432,1977
914,432,1977
915,433,1967
916,434,1980
917,435,1964
918,437,1996
919,438,1991
920,439,1985
921,439,1985
922,439,1985
923,439,1985
924,440,1986
925,440,1986
926,441,1986
927,441,1986
928,442,1974
929,443,1996
930,444,1987
931,448,1942
932,447,1988
933,446,1989
934,445,1992
935,451,1964
936,451,1964
937,450,1941
938,450,1941
939,450,1941
940,450,1941
941,449,2003
942,449,2003
943,452,1959
944,452,1959
945,452,1959
946,452,1959
947,453,1928
948,453,1928
949,453,1928
950,454,1969
951,455,1934
952,455,1934
953,455,1934
954,456,1960
955,456,1960
956,456,1960
957,457,1950
958,457,1950
959,457,1950
960,457,1950
961,457,1950
962,457,1950
963,457,1950
964,457,1950
965,457,1950
966,457,1950
967,457,1950
968,457,1950
969,457,1950
970,457,1950
971,457,1950
972,457,1950
973,457,1950
974,457,1950
975,458,1939
976,458,1939
977,459,1974
978,459,1974
979,459,1974
980,462,1920
981,463,2009
982,465,1995
983,466,1916
984,467,1938
985,468,1917
986,469,1954
987,470,1961
988,471,1988
989,471,1988
990,471,1988
991,472,1933
992,472,1933
993,473,1924
994,473,1924
995,474,1966
996,474,1966
997,475,1924
998,475,1924
999,475,1924
1000,476,1926
1001,476,1926
1002,476,1926
1003,476,1926
1004,476,1926
1005,477,1986
1006,477,1986
1007,477,1986
1008,478,1940
1009,479,1953
1010,480,1910
1011,480,1910
1012,481,1960
1013,481,1960
1014,481,1960
1015,481,1960
1016,481,1960
1017,481,1960
1018,481,1960
1019,481,1960
1020,481,1960
1021,481,1960
1022,481,1960
1023,481,1960
1024,481,1960
1025,481,1960
1026,481,1960
1027,481,1960
1028,481,1960
1029,481,1960
1030,481,1960
1031,481,1960
1032,481,1960
1033,481,1960
1034,481,1960
1035,481,1960
1036,481,1960
1037,482,1961
1038,483,1950
1039,484,1982
1040,485,1989
1041,486,1977
1042,486,1977
1043,486,1977
1044,486,1977
1045,486,1977
1046,486,1977
1047,487,1957
1048,487,1957
1049,487,1957
1050,487,1957
1051,487,1957
1052,487,1957
1053,488,1951
1054,489,1953
1055,490,1964
1056,491,1933
1057,492,1927
1058,492,1927
1059,492,1927
1060,492,1927
1061,492,1927
1062,492,1927
1063,492,1927
1064,492,1927
1065,492,1927
1066,492,1927
1067,492,1927
1068,492,1927
1069,492,1927
1070,492,1927
1071,492,1927
1072,492,1927
